RabbinicTerm,Term(English),PhraseContext,PhraseContext (English)
ח"ו,God forbid,(חס וחלילה / חס ושלום),God forbid
חידוש,Novel interpretation,חידוש גדול חידש לנו הבעש״ט,The Ba'al Shem Tov innovated a great novel teaching for us
חייב,Obligated/liable,חייב אדם לברך מאה ברכות בכל יום,A person is obligated to recite one hundred blessings every day
חז"ל,Our Sages of blessed memory,(חכמינו זכרונם לברכה),Our Sages of blessed memory
חשאי,secret,phr,phr-mng
י"ל (יש לומר),there is to say,י"ל,-
יחוד,Unification,יחוד השם הוא תכלית כל המצוות,The unification of God's name is the purpose of all commandments
יותר מזה,More than this,יותר מזה אפילו במחשבה אסור,More than this even in thought it is forbidden
יראת שמים,Fear of Heaven,יראת שמים קודמת לחכמה,Fear of Heaven precedes wisdom
כאמור,As it is said,כאמור בגמרא דידן,As it is said in our Gemara
כביכול,if it could be said,phr,phr-mng
כגון,For example,כגון תפילין ומזוזה ומצוות אחרות,For example tefillin and mezuzah and other commandments
כדי,so that,phr,phr-mng
כולי עלמא,Everyone agrees,כולי עלמא לא פליגי דאסור,Everyone agrees they do not dispute that it is forbidden
כוונה,Intention,כוונה היא חיות התפילה,Intention is the vitality of prayer
כעין,like similar to,phr,phr-mng
כי פליגי,Where they disagree,כי פליגי בדעת התלמיד,Where they disagree is regarding the student's opinion
כיון,Since,כיון דכתיב קרא הכי,Since the verse is written thus
כיצד,How so?,כיצד מברכים ברכת המזון?,How does one recite the Grace After Meals?
כלומר,that is to say,phr,phr-mng
כמאמר חז״ל,As our Sages said,כמאמר חז״ל גדול השלום,As our Sages said 'Great is peace'
כנ"ל (כנראה למעלה),as appears above,phr,phr-mng
כפי ש,According to,כפי שנתבאר במקום אחר,According to what was explained elsewhere
כש,When,כשאדם מתפלל צריך לכוון לבו,When a person prays he needs to direct his heart
לא הכי,Not so,לא הכי אמינא אלא הכי קאמינא,I do not say it that way but rather I say it this way
לא שנא,It makes no difference,לא שנא איש ואשה בדבר זה,It makes no difference [between] man and woman in this matter
לאו הכי,Not so,לאו הכי נמי אסור,Not so it is also forbidden
לית (אין),there is not,לית,-
לימא,let him say,phr,phr-mng
לכאורה,it seems at first glance,phr,phr-mng
למה הדבר דומה,To what is this similar?,-,To what is this similar? (This usually introduces a משל a parable)
לפיכך,Therefore,לפיכך צריך להזהר בדבר זה,Therefore one needs to be careful in this matter
ליתא,There is not,הא דקאמר ליתא דהא תנן במשנה,What he says is not so for we learned in the Mishnah
מאן,who,phr,phr-mng
מאי טעמא,What is the reason?,מאי טעמא דרבי יוסי?,What is Rabbi Yosi's reasoning?
מאי שנא,What is different?,מאי שנא ראשונה ממאי שנא אחרונה?,What is different about the first one what is different about the last one?
מה — אף,just as — so also,phr,phr-mng
מה לי,what's it to me? What difference to me,phr,phr-mng
מידי,Something like,מידי דהוה אכל הנך דרבנן,Something like all those [cases] of the Rabbis
מיבעי ליה,he needs,phr,phr-mng
מילתא,word thing affair,phr,phr-mng
ממילא,Consequently,ממילא פטור מכל המצוות,Consequently he is exempt from all commandments
ממש,Actually/literally,ממש כפשוטו של מקרא,Actually according to the simple meaning of the verse
מ"מ,in any case,(מכל מקום),in any case
מנא,From where?,מנא לן דבעי כוונה?,From where do we [know] that intention is required?
מנא הני מילי,From where do we derive these matters?,מנא הני מילי? אמר רב יהודה,From where do we derive these matters? Rav Yehuda said
מנה"מ,where did these words come from? what is the source?,(מנה הני מילא),where did these words come from? i.e. what is the source?
מנין,Prayer quorum,אין מתחילין בברכות אלא במנין,We do not begin with blessings except with a minyan
מר,The Master,phr,phr-mng
מסקנא,The conclusion,מסקנא דמילתא הכי הוא,The conclusion of the matter is thus
מציעתא,The middle part,מציעתא דמתניתא קא מיירי,The middle part of the Mishnah is what we are dealing with
מצווה,Commandment,גדולה מצווה הבאה בעבירה,Great is a commandment that comes through transgression
משא"כ,Which would not be so,(מה שאין כן),Which would not be so
משום הכי,Because of this,משום הכי אמר רחמנא,Because of this the Torah said
משמע,it implies,phr,phr-mng
מותר,Permitted,מותר לעשות מלאכה זו בשבת,It is permitted to do this work on Shabbat
נמי,also,phr,phr-mng
נפקא מנה,what come out from it practical result,phr,phr-mng
סטרא אחרא,The Other (Evil) Side,phr,phr-mng
סיפא,The end,סיפא דמתניתא משמע דאסור,The end of the Mishnah implies that it is forbidden
סוף דבר,The conclusion,סוף דבר הכל צפוי והרשות נתונה,The conclusion is everything is foreseen yet free will is given
סוף מילתא,The final word,סוף מילתא דכולי עלמא לא פליגי,The final word is that everyone agrees they do not disagree
ספירות,Divine emanations,עשר ספירות בלימה הן יסוד כל הבריאה,Ten sefirot without substance are the foundation of all creation
ספק,Doubt,ספק ברכות להקל,In case of doubt regarding blessings rule leniently
עבודה,Service,עבודה שבלב זו תפילה,The service that is in the heart that is prayer
עד ש,Until,עד שיכוון לבו לשמים,Until he directs his heart to Heaven
עוה"ז,this world,(עולם הזה),this world
עוה"ב,the next world,(עולם הבא),the next world
על אחת כמה וכמה,all the more so,phr,phr-mng
על פי,According to / according to,על פי הדברים האלה כרתי אתכם ברית,According to these words I have made a covenant with you
על ידי,through,phr,phr-mng
עי"ז,through this,(על ידי זה),through this
עניין,The matter of,עניין התפילה הוא עיקר עבודת השם,The matter of prayer is the essence of serving God
פירוש,Explanation,פירוש רש״י הוא הפירוש המקובל,Rashi's explanation is the accepted explanation
פלפול,Sharp argumentation,פלפול בתורה מחדד את השכל,Sharp argumentation in Torah sharpens the intellect
פליג,argue,phr,phr-mng
פסול,disqualified,phr,phr-mng
פסיקתא זוטרתי,The Small Section (name of a midrash collection),phr,phr-mng
פטור,Exempt,פטור מן התפילה בעת הדחק,Exempt from prayer in times of distress
פרש"י (פרוש רש"י),Rashi's commentary,phr,phr-mng
צדיק,Righteous person,צדיק באמונתו יחיה,The righteous person lives by his faith
קליפות,Husks,בירור הקליפות הוא עבודת האדם,The refinement of the husks is man's work
קמא,The first,תנא קמא סבר כרבי מאיר,The first Tanna holds like Rabbi Meir
קל וחומר,All the more so,ומה שבת שמותרת בפיקוח נפש קל וחומר בחג,And if Shabbat which is permitted for saving life all the more so on a festival
קשיא,Difficult,קשיא דרבי עקיבא אדרבי עקיבא,Rabbi Akiva's [statement] is difficult against Rabbi Akiva's [other statement]
רמי,throw a contradiction a challenge,phr,phr-mng
רבונו של עולם,Master of the Universe,רבונו של עולם מלא כל הארץ כבודו,Master of the Universe the whole earth is full of His glory
רישא,The beginning / beginning top,רישא דמתניתא קתני הכי,The beginning of the Mishnah teaches thus
שאני,It is different,שאני התם דכתיב קרא,That case is different because a verse is written
שאני הכא,This case is different,שאני הכא דאיכא למימר,This case is different because there is to say
שכינה,Divine Presence,שכינה שורה על עשרה היושבים ועוסקים בתורה,The Divine Presence rests upon ten who sit and occupy themselves with Torah
שכ"כ,so much,(שכל כך),so much
שכתב,As he wrote,שכתב הרמב״ם בהלכות תשובה,As the Rambam wrote in the Laws of Repentance
שמא,lest perhaps,phr,phr-mng
שמע מנה,hear from this infer from this,phr,phr-mng
שנאמר,As it is written,שנאמר והיה ה׳ למלך על כל הארץ,As it is written 'And the Lord shall be King over all the earth'
ש"ק,Holy Sabbath,(שבת קודש),Holy Sabbath
שטות,nonsense stupidity,phr,phr-mng
תיקו,Let it stand [unresolved],תיקו עד שיבא אליהו ויתרץ כל הקושיות,Let it stand until Elijah comes and resolves all difficulties
תיקון,Repair/rectification,תיקון עולם במלכות שדי,The rectification of the world under the sovereignty of the Almighty
תלמוד לומר,a scriptural source teaches / A (biblical) teaching says,phr,phr-mng
תור תמא,Go and wonder,תור תמא היאך אפשר דבר זה,Go and wonder how such a thing is possible
תורה לשמה,Torah for its own sake,גדולה תורה לשמה שמביאה לידי מעשה,Great is Torah studied for its own sake for it leads to action
תנו רבנן,Our Rabbis taught,תנו רבנן: מצוה לישב בסוכה שבעת ימים,Our Rabbis taught: It is a commandment to dwell in the sukkah seven days
