RabbinicTerm,Term(English),PhraseContext,PhraseContext (English)
לא הכי,Not so,לא הכי אמינא אלא הכי קאמינא,I do not say it that way but rather I say it this way
לא שנא,It makes no difference,לא שנא איש ואשה בדבר זה,It makes no difference [between] man and woman in this matter
לאו הכי,Not so,לאו הכי נמי אסור,Not so it is also forbidden
לית,(אין) there is not,לית דין דמי להאי,There is no law/judgement that is comparable to this one
לימא,Let him say, לימא כתנאי,Let us say it is like the tannaim
לכאורה,It seems at first glance, לכאורה קשיא,Apparently it is difficult
למה הדבר דומה,To what is this similar?, למה הדבר דומה למלך,What is this comparable to? To a king
לפיכך,Therefore,לפיכך צריך להזהר בדבר זה,Therefore one needs to be careful in this matter
ליתא,There is not,הא דקאמר ליתא דהא תנן במשנה,What he says is not so for we learned in the Mishnah
מאן,Who, מאן תנא,Who taught this?
מאי טעמא,What is the reason?,מאי טעמא דרבי יוסי?,What is Rabbi Yosi's reasoning?
מאי שנא,What is different?,מאי שנא ראשונה ממאי שנא אחרונה?,What is different about the first one what is different about the last one?
מה — אף,Just as — so also, מה שם כך אף כאן,Just as there
מה לי,What's it to me? What difference to me, מה לי זה ומה לי זה,What difference is there between this and that?
מידי,Something like,מידי דהוה אכל הנך דרבנן,Something like all those [cases] of the Rabbis
מיבעי ליה,He needs, מיבעי ליה לכדרבי,He needs it for [to be consistent with] Rabbi's teaching
מילתא,RabbinicTerm thing affair, מילתא דלא שכיחא,Something that is uncommon
ממילא,Consequently,ממילא פטור מכל המצוות,Consequently he is exempt from all commandments
ממש,Actually/literally,ממש כפשוטו של מקרא,Actually according to the simple meaning of the verse
מ״מ,(מכל מקום) In any case,אף שיש ספק בדבר מ״מ יש להחמיר,Even though there is doubt in the matter
מנא,From where?,מנא לן דבעי כוונה?,From where do we [know] that intention is required?
מנה״מ,(מנא הני מילי) where did these words come from? what is the source?,מנה״מ? אמר רב יהודה,From where do we derive these matters? Rav Yehuda said
מנין,Prayer quorum,אין מתחילין בברכות אלא במנין,We do not begin with blessings except with a minyan
מר,The Master, אמר מר,The master said
מסקנא,The conclusion,מסקנא דמילתא הכי הוא,The conclusion of the matter is thus
מציעתא,The middle part,מציעתא דמתניתא קא מיירי,The middle part of the Mishnah is what we are dealing with
מצווה,Commandment / good-deed,מצווה הבאה בעבירה,A good-deed that comes via a transgression
משא״כ,(מה שאין כן) Which is not the case,בשבת אסור לעשות מלאכה משא״כ בחול,On Sabbath it is forbidden to do work
משום הכי,Because of this,משום הכי אמר רחמנא,Because of this the Torah said
משמע,It implies, משמע דאמר,It implies that he said
מותר,Permitted,מותר לעשות מלאכה זו בשבת,It is permitted to do this work on Shabbat
נמי,Also, אף על גב דנמי,Even though also
נפקא מנה,What come out from it practical result, נפקא מנה תלת,Three things derive from it
סטרא אחרא,The Other [wild/evil] Side, מסטרא אחרא זה,This is from the other perspective
סיפא,The end,סיפא דמתניתא משמע דאסור,The end of the Mishnah implies that it is forbidden
סוף דבר,The conclusion,סוף דבר הכל צפוי והרשות נתונה,The conclusion is everything is foreseen yet free will is given
סוף מילתא,The final word,סוף מילתא דכולי עלמא לא פליגי,The final word is that everyone agrees they do not disagree
ספירות,Divine emanations,עשר ספירות בלימה הן יסוד כל הבריאה,Ten sefirot without substance are the foundation of all creation
ספק,Doubt,ספק ברכות להקל,In case of doubt regarding blessings rule leniently
עבודה,Service,עבודה שבלב זו תפילה,The service that is in the heart that is prayer
עד ש,Until,עד שיכוון לבו לשמים,Until he directs his heart to Heaven
עוה״ז,(עולם הזה) this world,מצוות נתנו ליהנות בעוה״ז,Commandments were given to be enjoyed in this world
עוה״ב,(עולם הבא) the next world,צדיקים זוכים לחיי עוה״ב,The righteous merit life in the world to come
על אחת כמה וכמה,All the more so, מקל וחומר על אחת כמה וכמה,From a minor to major inference
על פי,According to,על פי הדברים האלה כרתי אתכם ברית,According to these words I have made a covenant with you
על ידי,Through, על ידי דבר זה,By means of this thing
עי״ז,(על ידי זה) through this,עי״ז יכול האדם להתקדש,Through this a person can become sanctified
עניין,The matter of,עניין התפילה הוא עיקר עבודת השם,The matter of prayer is the essence of serving God
פירוש,Explanation,פירוש רש״י הוא הפירוש המקובל,Rashi's explanation is the accepted explanation
פלפול,Sharp argumentation,פלפול בתורה מחדד את השכל,Sharp argumentation in Torah sharpens the intellect
פליג,Argue, פליג עליה,He disagrees with him
פסול,Disqualified, פסול ועושה,Invalid but usable
פטור,Exempt,פטור מן התפילה בעת הדחק,Exempt from prayer in times of distress
פרש״י,(פרוש רש״י) Rashi's commentary,כמו שפירש פרש״י על המקרא,As Rashi explained on the biblical verse
צדיק,Righteous person,צדיק באמונתו יחיה,The righteous person lives by his faith
קליפות,Husks,בירור הקליפות הוא עבודת האדם,The refinement of the husks is man's work
קמא,The first,תנא קמא סבר כרבי מאיר,The first Tanna holds like Rabbi Meir
קל וחומר,All the more so,ומה שבת שמותרת בפיקוח נפש קל וחומר בחג,And if Shabbat which is permitted for saving life all the more so on a festival
קשיא,Difficult,קשיא דרבי עקיבא אדרבי עקיבא,Rabbi Akiva's [statement] is difficult against Rabbi Akiva's [other statement]
רמי,Throw a contradiction or a challenge, רמי בר חמא,Bar Chama raised an objection
רבונו של עולם,Master of the Universe,רבונו של עולם מלא כל הארץ כבודו,Master of the Universe the whole earth is full of His glory
רישא,The beginning/top,רישא דמתניתא קתני הכי,The beginning of the Mishnah teaches thus
שאני,It is different,שאני התם דכתיב קרא,That case is different because a verse is written
שאני הכא,This case is different,שאני הכא דאיכא למימר,This case is different because there is to say
שכינה,Divine Presence,שכינה שורה על עשרה היושבים ועוסקים בתורה,The Divine Presence rests upon ten who sit and occupy themselves with Torah
שכ״כ,(שכל כך) that (it is) so much,אם בחול אסור שכ״כ בשבת,If it is forbidden on weekdays
שכתב,As he wrote,שכתב הרמב״ם בהלכות תשובה,As the Rambam wrote in the Laws of Repentance
שמא,Lest perhaps, שמא יאמר אדם,Lest a person say
שמע מנה,Hear from this infer from this, שמע מנה תלת,Learn three things from this
שנאמר,As it is written,שנאמר והיה ה׳ למלך על כל הארץ,As it is written 'And the Lord shall be King over all the earth'
ש״ק,(שבת קודש) Holy Sabbath,בליל ש״ק נהגו לעשות סעודה,On the eve of the holy Sabbath it was customary to make a meal
שטות,Nonsense stupidity, שטות היא זו,This is nonsense
תימה,Astonishing,תימה היאך אפשר דבר זה,It's astonishing how such a thing is possible
תיקו,Let it stand [unresolved],תיקו עד שיבא אליהו ויתרץ כל הקושיות,Let it stand until Elijah comes and resolves all difficulties
תיקון,Repair/rectification,תיקון עולם במלכות שדי,The rectification of the world under the sovereignty of the Almighty
תלמוד לומר,A scriptural source teaches / A (biblical) teaching says, תלמוד לומר אחר,The verse teaches by saying 'other'
תורה לשמה,Torah for its own sake,גדולה תורה לשמה שמביאה לידי מעשה,Great is Torah studied for its own sake for it leads to action
תנו רבנן,Our Rabbis taught,תנו רבנן: מצוה לישב בסוכה שבעת ימים,Our Rabbis taught: It is a commandment to dwell in the sukkah seven days
